0.992;0.995;0.997
0.977;0.986;0.991
0.934;0.964;0.982
0.898;0.94;0.965
0.841;0.895;0.942
0.795;0.883;0.938
0.734;0.833;0.909
0.754;0.847;0.916
0.949;0.97;0.983
0.957;0.976;0.987
0.946;0.97;0.986
0.877;0.92;0.955
0.691;0.781;0.876
0.719;0.819;0.897
0.704;0.811;0.881
0.678;0.771;0.87
0.751;0.821;0.895
0.83;0.888;0.936
0.834;0.89;0.937
0.856;0.902;0.945
0.875;0.918;0.958
0.88;0.927;0.965
0.87;0.92;0.953
0.831;0.897;0.947
0.721;0.831;0.906
0.82;0.897;0.952
0.807;0.894;0.953
0.74;0.838;0.924
0.975;0.987;0.994
0.98;0.988;0.993
0.973;0.982;0.989
0.954;0.974;0.985
0.898;0.947;0.976
0.927;0.958;0.979
0.914;0.955;0.978
0.946;0.979;0.991
0.926;0.96;0.983
0.862;0.9;0.949
0.632;0.699;0.802
0.654;0.722;0.815
0.912;0.945;0.972
0.925;0.961;0.981
0.951;0.975;0.99
0.926;0.962;0.983
0.935;0.967;0.986
0.925;0.957;0.982
0.956;0.979;0.991
0.934;0.967;0.986
0.923;0.961;0.983
0.931;0.966;0.986
0.872;0.931;0.972
0.832;0.914;0.967
0.945;0.971;0.984
0.944;0.968;0.984
0.943;0.968;0.984
0.943;0.967;0.984
0.854;0.924;0.968
0.833;0.91;0.959
0.822;0.893;0.946
0.849;0.913;0.949
0.842;0.904;0.949
0.838;0.907;0.955
0.921;0.961;0.982
0.854;0.915;0.963
0.895;0.948;0.976
0.881;0.94;0.971
0.876;0.939;0.971
0.844;0.92;0.962
0.866;0.93;0.971
0.83;0.895;0.956
0.866;0.931;0.968
0.809;0.889;0.952
0.889;0.949;0.977
0.785;0.875;0.946
0.828;0.902;0.951
0.822;0.894;0.955
0.8;0.876;0.94
0.875;0.928;0.971
0.91;0.958;0.985
0.894;0.945;0.978
0.837;0.906;0.955
0.9;0.943;0.971
0.828;0.901;0.953
0.964;0.978;0.988
0.854;0.913;0.962
0.979;0.988;0.994
0.975;0.985;0.991
0.959;0.975;0.985
0.766;0.859;0.928
0.9;0.949;0.974
0.784;0.876;0.938
0.752;0.852;0.923
0.78;0.874;0.944
0.893;0.93;0.963
0.939;0.966;0.982
0.953;0.981;0.993
0.888;0.927;0.959
0.905;0.94;0.969
0.939;0.959;0.976
0.948;0.973;0.985
0.913;0.951;0.974
0.935;0.964;0.982
0.943;0.97;0.986
0.895;0.942;0.969
0.852;0.907;0.956
0.801;0.86;0.932
0.745;0.813;0.894
0.911;0.953;0.98
0.909;0.952;0.978
0.897;0.942;0.97
0.96;0.979;0.99
0.92;0.963;0.985
0.809;0.894;0.959
0.848;0.905;0.949
0.908;0.939;0.969
0.839;0.92;0.973
0.902;0.943;0.975
0.956;0.972;0.985
0.962;0.976;0.986
0.961;0.978;0.987
0.941;0.966;0.982
0.679;0.791;0.894
0.811;0.888;0.942
0.838;0.903;0.951
0.835;0.903;0.951
0.944;0.968;0.982
0.894;0.933;0.967
0.903;0.94;0.972
0.919;0.953;0.977
0.863;0.917;0.954
0.889;0.933;0.965
0.925;0.959;0.979
0.902;0.948;0.978
0.907;0.943;0.97
0.932;0.961;0.978
0.711;0.788;0.873
0.692;0.79;0.864
0.81;0.878;0.937
0.889;0.943;0.971
0.774;0.853;0.924
0.828;0.888;0.938
0.938;0.952;0.971
0.889;0.939;0.97
0.868;0.935;0.975
0.851;0.925;0.967
0.882;0.935;0.975
0.872;0.918;0.959
0.875;0.921;0.96
0.907;0.946;0.975
0.975;0.985;0.991
0.879;0.93;0.968
0.753;0.842;0.926
0.778;0.871;0.943
0.825;0.893;0.948
0.816;0.897;0.95
0.865;0.917;0.96
0.773;0.857;0.925
0.892;0.928;0.959
0.908;0.941;0.966
0.878;0.931;0.964
0.847;0.903;0.947
0.93;0.959;0.98
0.829;0.889;0.946
0.791;0.862;0.93
0.86;0.921;0.959
0.864;0.923;0.965
0.883;0.937;0.973
0.919;0.952;0.973
0.942;0.967;0.983
0.945;0.975;0.988
0.829;0.914;0.953
0.759;0.846;0.914
0.678;0.773;0.877
0.737;0.814;0.891
0.742;0.816;0.899
0.702;0.792;0.87
0.742;0.818;0.898
0.774;0.844;0.914
0.76;0.844;0.909
0.691;0.779;0.872
0.774;0.848;0.913
0.841;0.908;0.954
0.768;0.833;0.904
0.758;0.835;0.904
0.812;0.876;0.926
0.84;0.899;0.948
0.891;0.944;0.976
0.92;0.965;0.987
0.848;0.909;0.961
0.864;0.925;0.963
0.88;0.931;0.965
0.95;0.975;0.989
0.936;0.965;0.983
0.949;0.975;0.989
0.929;0.961;0.981
0.921;0.956;0.98
0.87;0.925;0.967
0.943;0.967;0.985
0.963;0.981;0.99
0.895;0.94;0.972
0.987;0.992;0.995
0.982;0.989;0.994
0.896;0.946;0.976
0.848;0.915;0.967
0.969;0.98;0.99
0.855;0.921;0.963
0.862;0.925;0.97
0.933;0.963;0.983
0.91;0.95;0.978
0.842;0.919;0.967
0.671;0.723;0.846
0.538;0.639;0.755
0.931;0.954;0.974
0.767;0.832;0.895
0.962;0.974;0.983
0.716;0.787;0.875
0.58;0.668;0.761
0.953;0.971;0.985
0.897;0.936;0.969
0.951;0.971;0.985
0.985;0.991;0.995
0.713;0.78;0.892
0.8;0.889;0.953
0.908;0.953;0.981
0.918;0.96;0.983
0.861;0.928;0.97
0.876;0.93;0.969
0.961;0.978;0.989
0.909;0.946;0.973
0.943;0.961;0.975
0.989;0.992;0.995
0.812;0.88;0.922
0.806;0.868;0.916
0.752;0.832;0.911
0.798;0.871;0.937
0.907;0.944;0.968
0.94;0.966;0.982
0.829;0.91;0.962
0.896;0.949;0.978
0.895;0.949;0.978
0.937;0.954;0.975
0.991;0.994;0.997
0.966;0.982;0.992
0.911;0.957;0.979
0.969;0.984;0.993
0.982;0.988;0.992
0.96;0.97;0.982
0.973;0.979;0.988
0.975;0.978;0.982
0.946;0.955;0.97
0.915;0.928;0.949
0.903;0.915;0.937
0.895;0.907;0.928
0.891;0.901;0.926
0.905;0.918;0.932
0.916;0.927;0.94
0.925;0.935;0.947
0.933;0.942;0.952
0.937;0.947;0.956
0.937;0.947;0.957
0.937;0.948;0.957
0.934;0.945;0.955
0.931;0.942;0.951
0.914;0.923;0.942
0.923;0.932;0.95
0.936;0.942;0.955
0.932;0.952;0.965
0.91;0.946;0.975
0.852;0.913;0.965
0.789;0.875;0.951
0.785;0.871;0.949
0.786;0.872;0.949
0.776;0.869;0.94
0.786;0.873;0.949
0.775;0.869;0.94
0.776;0.869;0.941
0.706;0.827;0.92
0.699;0.823;0.905
0.763;0.846;0.928
0.786;0.871;0.939
0.833;0.9;0.945
0.886;0.922;0.948
0.908;0.923;0.941
0.912;0.935;0.955
0.947;0.957;0.968
0.96;0.968;0.978
0.958;0.964;0.975
0.961;0.969;0.978
0.963;0.973;0.983
0.963;0.974;0.984
0.998;0.998;0.999
0.986;0.991;0.994
0.991;0.993;0.996
0.995;0.997;0.997
0.987;0.992;0.995
0.984;0.989;0.994
0.983;0.989;0.993
0.982;0.988;0.993
